"name" "rpkm" "sample"
"95545" "T2D-77A_GL0031944" 11953.9932799173 "164HP"
"964" "V1.CD11-0_GL0028089" 3418.44218481963 "164HP"
"986" "N062A_GL0031945" 4548.88097528008 "164HP"
"987" "MH0014_GL0046011" 3261.57860404436 "164HP"
"991" "V1.CD12-3_GL0024370" 1983.3923943513 "164HP"
"994" "656449.ERFG_02885" 997.473068227158 "164HP"
"998" "MH0415_GL0220578" 4775.41887245538 "164HP"
"1003" "DLM012_GL0058938" 9926.54357752631 "164HP"
"1023" "ED11A_GL0008364" 5268.70389884088 "164HP"
"1026" "MH0415_GL0079975" 3891.65628891656 "164HP"
"102849" "NOF006_GL0000294" 14647.2114499344 "164HP"
"1042" "DLM005_GL0002918" 8578.14025919181 "164HP"
"105743" "766139.SB359474_4449" 14937.3360536287 "164HP"
"1060" "MH0415_GL0217279" 1421.01972375377 "164HP"
"1069" "656449.ERFG_01368" 3364.83818867022 "164HP"
"1091" "MH0014_GL0016730" 7278.35493855536 "164HP"
"1094" "T2D-53A_GL0050463" 4676.52814550478 "164HP"
"109739" "MH0014_GL0094917" 6298.22075263738 "164HP"
"1098" "MH0363_GL0142090" 2181.31053136725 "164HP"
"1106" "MH0415_GL0112852" 3918.37246481302 "164HP"
"1122" "T2D-63A_GL0094868" 8225.16001674942 "164HP"
"1123" "NLM003_GL0007311" 8503.6643062556 "164HP"
"1130" "V1.CD12-3_GL0012474" 3510.46899865822 "164HP"
"1133" "ED20A_GL0072825" 9663.25489347228 "164HP"
"1159" "N038A_GL0078531" 8600.73809970601 "164HP"
"1186" "766147.SFK227_2609" 2283.10502283105 "164HP"
"1197" "MH0415_GL0168896" 1567.34898592521 "164HP"
"1201" "MH0415_GL0231794" 2103.59799400895 "164HP"
"1202" "V1.UC58-4_GL0050557" 1313.80723820201 "164HP"
"1220" "V1.CD4-0-PT_GL0036734" 2073.03724833328 "164HP"
"1222" "MH0014_GL0047256" 6279.93435375289 "164HP"
