	alien-11-0-0	alien-11-60-0	kazan5500_2015_05_26_1_L04_25HP_F3	kazan5500_2015_05_26_1_L06_41HP_F3	kazan5500_2015_05_26_1_L06_43HP_F3	kazan5500_2015_06_20_1_L01_50HP_F3	kazan5500_2015_06_20_1_L01_59HP_F3	kazan5500_2015_11_27_1_L02_58HP_F3	kazan5500_2015_11_27_1_L05_88HP_F3	kazan5500_2015_11_27_1_L06_98HP_F3	kazan5500_2015_12_11_L01_70HP_F3	kazan5500_2016_04_22_1_L01_115HP_F3	kazan5500_2016_04_22_1_L01_119HP_F3	kazan5500_2016_05_31_HP_A_L02_163HP_F3	kazan5500_2016_05_31_HP_A_L03_160HP_F3	kazan5500_2016_05_31_HP_A_L03_164HP_F3	scavenger-11-0-0
g000415	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
g000416	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000418	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000419	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	0	1
g000420	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1
g000423	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000440	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1
g000448	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1
g000455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
g000463	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000464	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
g000465	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000466	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000479	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
g000493	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000495	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1
g000497	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000499	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000500	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1
g000501	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
g000502	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000503	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000504	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000505	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g000507	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	0
g000523	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000527	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
g000528	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000531	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1
g000532	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000533	0	0	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1
g000536	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1
g000542	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000543	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
g000544	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1
g000556	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000565	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000566	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000571	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1
g000573	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1
g000575	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
g000590	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
g000593	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
g000602	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
g000605	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
g000611	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0
g000614	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
g000615	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000618	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g000619	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1
g000622	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0
g000630	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
g000633	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1
g000635	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000636	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000637	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g000638	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g000639	0	0	1	1	1	0	1	0	1	0	0	0	1	1	1	0	1
g000640	0	0	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1
g000641	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
g000647	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g000649	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
g000656	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000657	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000660	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000661	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g000662	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0
g000664	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0
g000669	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
g000671	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000672	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000680	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000686	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g000693	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000694	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
g000698	1	1	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1
g000710	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000717	0	0	0	0	0	1	1	1	1	1	1	0	0	0	1	1	1
g000718	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000730	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	0
g000731	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0
g000733	0	1	0	1	1	1	0	1	0	1	1	0	1	1	0	0	1
g000735	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000737	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g000739	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
g000743	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
g000747	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0
g000749	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
g000757	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0
g000763	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g000764	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
g000766	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
g000769	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
g000771	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
g000775	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0
g000778	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1
g000779	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
g000781	0	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0
